year,マイワシ,カタクチイワシ,サバ類,ブリ,サワラ,スルメイカ,スケトウダラ,ウルメイワシ
1956,12946,182267,124239,17674,1389,27695,2697,4814
1957,19809,246653,122939,13664,1085,29405,5330,6126
1958,11960,249092,104618,16993,998,21861,3597,7825
1959,17012,187479,124587,20241,1258,37685,3742,8567
1960,17327,170170,210662,14649,801,41409,2332,10923
1961,99639,198505,171749,15779,1109,35108,3053,7892
1962,93922,160805,215778,15581,1263,71874,7997,10441
1963,44543,154107,255676,14112,1301,55503,12181,13792
1964,18200,138400,243700,12600,1400,25300,15700,9200
1965,5648,221262,335672,16303,2545,47607,35583,13037
1966,4906,206635,334750,16045,2088,54376,61537,8848
1967,8101,169856,336872,18178,1838,66361,101035,8709
1968,13344,99762,530591,15450,1521,65868,190068,10270
1969,11609,145705,421123,13591,1078,44371,268906,10379
1970,12778,141243,557203,12987,1368,48241,279816,10810
1971,49100,135217,488662,13906,846,48445,306867,21204
1972,35704,140197,404198,12238,940,57811,336406,16433
1973,242515,129203,311492,14464,941,34940,342479,12065
1974,241283,119893,324413,9683,578,34769,334304,13092
1975,377499,83771,385076,6591,1177,50070,315712,10764
1976,563396,52864,326382,5411,1300,31526,256730,12290
1977,726462,51609,452618,4600,1546,34139,264090,8152
1978,855487,33215,738223,6154,1659,30962,83566,6172
1979,758180,40449,621034,7930,1327,21289,72343,6456
1980,987713,49561,556778,7509,1322,44698,85586,7929
1981,1687141,35133,328942,8117,1301,29740,114868,8735
1982,1761399,38668,220742,7252,1223,14996,107749,6263
1983,2070068,40801,305969,7898,1410,16918,93340,5521
1984,2194503,83197,358770,8424,1952,21638,132510,9708
1985,1910888,61881,365859,6007,2778,11429,102601,5510
1986,2044165,65200,475446,8053,3023,13748,179161,6644
1987,2108957,57713,303550,8896,2021,14378,202725,5005
1988,2135670,60571,216703,8637,2177,18565,179627,6982
1989,1946878,79651,135591,10501,1498,21609,143808,7173
1990,1633009,196307,71334,12811,1888,17928,108239,5949
1991,1281539,184901,47725,13057,1528,17257,72297,6544
1992,972558,156339,57667,12927,1499,55091,59981,11938
1993,634795,86171,294323,12145,918,28774,63537,16363
1994,346454,89915,195798,11998,823,47509,57335,18337
1995,249465,122177,174422,15171,998,38929,34017,15447
1996,122014,183193,263468,12797,609,104332,37621,16646
1997,220627,111461,499989,11399,796,47092,45313,25137
1998,104481,267854,261799,9024,811,10753,32612,20599
1999,271927,275812,157622,11842,568,27439,32748,12904
2000,119145,195489,178917,27971,897,46674,29497,13042
2001,161018,182937,197089,22198,1063,39924,18887,13929
2002,44459,281651,131892,14069,1187,59538,10736,10878
2003,45772,358660,172221,11009,1342,37087,9432,15277
2004,43940,359366,200788,10205,1176,45214,22738,12933
2005,20163,216092,411567,14999,1858,46268,7939,16700
2006,46254,263097,470378,15132,1909,29743,13399,18646
2007,56744,216480,270022,17459,2589,56601,8790,25261
2008,21935,192596,330173,19290,2082,39147,15852,29380
2009,44952,204886,268601,25014,1928,50889,7708,23317
2010,57814,196373,306099,26707,2237,40817,16335,16720
2011,107765,139784,214059,29675,1293,37764,5581,36266
2012,82519,127961,244402,35734,1636,29779,16706,29600
2013,110665,131926,223430,30709,2244,27966,15327,32506
2014,150490,119236,313477,35294,2873,30014,13748,41939
2015,199568,57198,341432,38583,3136,22086,10470,46312
2016,262683,60643,325378,25777,3221,11946,7863,38092
2017,354275,41398,309555,41628,2437,10405,6317,29572
2018,367205,24996,304485,35515,2477,6552,3172,21045
2019,431932,40197,272561,34721,3444,5907,6700,22626
2020,477970,50092,237753,36251,2752,11049,3663,18877
2021,453138,34713,274397,34172,2463,3701,9053,26726
2022,454296,33311,158714,35772,1785,4060,16088,17290
2023,433978,33910,100116,23049,1595,4806,6089,19318
