年,資源量（千トン）,漁獲量（千トン）,漁獲係数（漁獲量／資源量）,黒潮大蛇行の有無
1982,34,13,0.3824,0
1983,41,18,0.4390,0
1984,44,17,0.3864,0
1985,46,14,0.3043,0
1986,79,37,0.4684,0
1987,88,37,0.4205,0
1988,82,30,0.3659,0
1989,92,33,0.3587,0
1990,125,42,0.3360,0
1991,153,61,0.3987,0
1992,131,62,0.4733,0
1993,153,79,0.5163,0
1994,159,80,0.5031,1
1995,149,70,0.4698,1
1996,162,80,0.4938,0
1997,143,76,0.5315,0
1998,127,40,0.3150,0
1999,119,48,0.4034,0
2000,125,56,0.4480,0
2001,139,68,0.4892,0
2002,111,50,0.4505,0
2003,108,51,0.4722,0
2004,111,54,0.4865,1
2005,100,48,0.4800,1
2006,89,40,0.4494,0
2007,80,40,0.5000,0
2008,74,39,0.5270,0
2009,56,24,0.4286,0
2010,61,26,0.4262,0
2011,65,27,0.4154,0
2012,68,22,0.3235,0
2013,69,27,0.3913,0
2014,53,22,0.4151,0
2015,44,17,0.3864,0
2016,49,16,0.3265,0
2017,50,24,0.4800,1
2018,46,18,0.3913,1
2019,53,16,0.3019,1
2020,41,16,0.3902,1
2021,36,15,0.4167,1
2022,36,15,0.4167,1
2023,51,22,0.4314,1
2024,57,23,0.4035,1
